單字,詞性,中文
isolated,adj.,偏遠的
isolated,adj.,孤獨的；孤立的
isolate,vt.,隔離；孤立
isolation,n.,隔離
isolation,n.,孤立；孤獨
primarily,adv.,主要地
primary,adj.,主要的
justice,n.,正義；公平
justice,n.,公正
injustice,n.,不公平
accuse,vt.,指控
guilt,n.,犯罪；罪行
guilt,n.,內疚
guilty,adj.,有罪的
suspect,n.,嫌疑犯
suspect,vt.,懷疑；猜想
suspect,vt.,懷疑（某人有罪）
insist,vt. vi.,堅持
opposite,prep.,在......的對面
opposite,adj.,對面的；另一邊的
opposite,adj.,相反的
identical,adj.,完全相同的；極其相似的
ultimately,adv.,最終；最後
ultimate,adj.,最後的
glory,n.,榮耀
glorious,adj.,壯麗的
witness,vt.,目擊；親眼見證
terrifying,adj.,可怕的
terrify,vt.,使恐懼
terrified,adj.,極度恐懼的
cherish,vt.,珍愛
cherish,vt.,懷有；珍惜（記憶等）
royal,adj.,皇家的；王室的
royalty,n.,王室成員
status,n.,地位；身份
palace,n.,宮殿
jail,n.,監獄
pace,vt. vi.,來回踱步
pace,n.,速度；步速
clue,n.,提示；線索
anxiety,n.,焦慮；憂慮
anxious,adj.,焦慮的
instruct,vt.,提示；命令
instruction,n.,指示；命令
instructor,n.,教練
subtle,adj.,不易察覺的；淡淡的
lean,vi.,前俯；傾斜
lean,vi.,倚靠
once upon time,,從前；很久以前
rule (...) with an iron fist,,以鐵碗手段治理
side by side,,並列地；並肩地
by no means,,絕非；一點也不
tear (...) apart,,（把.......）撕裂
none but,,僅有
