,,,
cycle,n,循環
justice,n,正義;司法;審判
do n justice,,公平對待、照實呈現
speed,n,速度;速率
speed up,,加速;加快
rent,n/vt,租用;租金;出租
value,n,價值
value,vt,珍視
shame,n,羞恥;恥辱
tax,n/vt,稅;向~課稅
taxpayer,n,納稅人
feature,n,特色;容貌;五官
gradual,adj,逐漸的
upset,vt,使心煩意亂
contract,n,合約
repair,n/vi/vt,修理
pop,vt/vi,(使)爆裂
pop up,,突然出現;冒出
post,n,崗位;哨位
postcard,n,明信片
smooth,adj,平滑的
smooth,vt,使平滑
smoothly,adv,平滑地;流暢地;流利地
childish,adj,孩子氣的；幼稚的
mature,adj,成熟的
dialogue,n,對話
exit,n,出口
fry,vt,炸、煎
garlic,n,大蒜
hike,n/vi,徒步旅行
gram,n,公克
kilogram,n,公斤
naughty,adj,頑皮的
click,vi,(滑鼠)輕按
comic,adj,滑稽的;有趣的;喜劇的
confident,adj,有信心的
chart,n,表單;圖表
table,n,表格
range,n,範圍
range,vi,在範圍內變動
swing,n/vt,動擺
swing,n,晃動;鞦韆
pack,v,打包(行李)
unpack,v,打開包裹(或行李等)
eyebrow,n,眉毛
supply,vt/n,供應
trap,n,陷阱
trap,vt,困住;使動彈不動
company,n,同伴;陪伴
keep sb company,,與某人作伴；陪伴某人
volleyball,n,排球
