,,,
march,vi., 遊行示威；遊行抗議、齊步走；行進
march,n. [C], 示威遊行；抗議遊行
memorial,n. [C], 紀念物；紀念碑
memorial,adj., 紀念的；悼念的
outline,vt., 概述；略述
outline,n. [C U], 大綱；概要
racism,n. [U], 種族主義；種族歧視
racist,n. [C], 種族主義者
racial,adj., 種族的
decisive,adj., 關鍵的；決定性的
civil,adj., 人民的；國民的
grant,vt., 授予；准予
grant,n. [C], 補助金；撥款
flame,n. [C], 火焰
wither,vt. vi., （使）枯萎；（使）乾枯
wither,vi., 消逝；萎縮
captivity,n. [U], 監禁
captive,n. [C], 俘虜
captive,adj., 被囚禁的
cripple,vt., 使不良於行；使殘廢
segregation,n. [U], 隔離；分開
segregate,vt., 隔離；分開
midst,n. [U], 中間
exile,n. [C], 流亡者
exile,n. [U], 流亡
exile,vt., 流放；放逐
shameful,adj., 可恥的
shame,n. [U], 羞恥；羞愧
shame,n. sing., 令人惋惜或遺憾的事
fatigue,n. [U], 疲勞
mobility,n. [U], 流動性、活動力
mobile,adj., 可移動的
rob,vt., 剝奪、搶劫
robber,n. [C], 搶犯；強盜
robbery,n. [U C], 搶劫
dignity,n. [U], 自尊、尊嚴；莊重
oppression,n. [U], 壓迫
oppress,vt., 壓迫
vicious,adj., 邪惡的；兇殘的
symphony,n. [C], 交響樂
eloquence,n. [U], 雄辯；口才
eloquent,adj., 雄辯的；有說服力的
rhetorical,adj., 修辭的
rhetoric,n. [U], 修辭（學）
conscience,n. [C U], 良心；良知
warrior,n. [C], 戰士
go down in history,,載入史冊；留名青史
as long as,,只要
be heavy with,,充滿
live out,,實現
join hands with,,（與某人）手牽手、攜手合作
have yet to,,還沒有；尚未
