,,,
define,vt., 解釋；給⋯⋯下定義
definition,n.[C U], 解釋；定義
misleading,adj., 誤導的
mislead,vt., 誤導；使誤信
deceive,vt., 欺騙
journalism,n.[U], 新聞工作
journalist,n.[C], 新聞記者
journal,n.[C], 刊物；雜誌
prior,adj., 先前的；較早的
political,adj., 政治的；政府的
politics,n.[U], 政治；政治事務
politician,n.[C], 從政者、政客
attempt,n.[C], 試圖；嘗試
attempt,vt., 嘗試；試圖
candidate,n.[C], 候選人、申請人
illustrate,vt., 說明；解釋、加插圖於⋯⋯；給⋯⋯做圖表
illustration,n.[C], 插圖；圖表
extensive,adj., 廣泛的、廣闊的；廣大的
extend,vt., 延伸；延長
extension,n.[U C], 擴大；延伸
flawed,adj., 有錯誤的；有缺點的
shatter,vt., （使希望或信念）破滅
shatter,vt. vi., （使）破碎
subsequent,adj., 之後的；隨後的
intention,n[C], 打算；意圖
intend,vt., 打算；想要
intentional,adj., 故意的；有意的
panic,n.[U], 人心惶惶的局面、恐慌
panic,vi., 恐慌
necessity,n.[C], 必需的事物；必需品
evaluate,vt., 評估；評價
evaluation,n.[C U], 評估；評價
validity,n.[U], 正確性；正當性、（法律上的）有效；合法性
valid,adj., 有根據的；合理的、（法律上）有效的
notable,adj., 顯著的；值得注意的
biography,n.[C], 傳記；傳記作品
credibility,n.[U], 可信性；可靠性
credible,adj., 可信的；可靠的
cite,vt., 引用；引述、提及（原因）；舉出（例子）
objective,adj., 客觀的
objective,n.[C], 目標；目的
prior to,,在⋯⋯之前
stock up,,貯備；備足某物,
mistake...for...,,把⋯⋯錯當成⋯⋯
last but not least,,最後但同樣重要的
fall for,,受⋯⋯的騙；上⋯⋯的當
