,,,
exaggerate,vt/vt,誇張/誇大
clarify,vi,澄清/闡明
clarify,vt,使明晰
desperate,adj,拼命的/不顧死活的/危急的/令人絕望的/極渴望的
desperately,adv,拼命地，不顧一切地
conservative,adj,保守的/守舊的保守主義者
mercy,n,慈悲/憐憫;仁慈
merciful,adj,仁慈的/慈悲的
miner,n,礦工
mineral,n,礦物，礦物質
mineral water,n,礦泉水
productive,adj,能生產的/有生產價值的/多產的
respectable,adj,可敬的
respectful,adj,尊重人的/表示敬意的/有禮貌的
cherish,vt,珍愛/懷有/愛護
recreation,n,娛樂
blade,n,刀鋒
moderate,adj,適度的/節制的
contest,n,競賽/競賽
polish,vt,磨光/擦亮/改進
craft,n,工藝/手藝;飛機/飛船
bounce,v,彈跳
bounce back,,彈回/折射回;恢復過來/振作起來
foam,n,泡沫
negotiate,vi,商議/談判/交涉
orbit,n,軌道
orbit,vt,使沿軌道運行
barrier,n,障礙物;柵欄
obstacle,n,障礙
fantastic,adj,幻想的/奇異的/荒誕不經的
fantasy,n,幻想/白日夢
insert,vt,插入，放進
promotion,n,晉級/籌辦/增進
promote,vt,促進;提升;發起/創立;宣傳/推銷
thorough,adj,徹底的
thoroughly,adv,徹底地
battery,n,電池
curiosity,n,好奇心
gulf,n,海灣/鴻溝
protein,n,蛋白質
chorus,n,合唱隊/齊聲
chorus,vt,齊聲說道/合唱
confess,vt,供認/承認;懺悔
confess,vi,供認/承認;懺悔
overlook,vt,忽略 俯瞰
embarrassed,adj,難堪的，尷尬的
embarrassing,adj,令人困窘的
embarrassment,n,難堪，尷尬
innocence,n,無罪/無知/天真無邪
experimental,adj,實驗性的/試驗性的
paragraph,n,段落
species,n,物種
wit,n,機智;理解力;風趣
at one's wits' end,,不知所措;某人束手無策
carve,v,雕刻/切開/開拓
costume,n,戲服/道具服
revise,vt,修改/修正
revision,n,修訂版校訂/修正/修訂本
