,,,
infection,n,感染
ashamed,adj,羞愧的
shameful,adj,可恥的
shameless,adj,無恥的
athletic,adj,運動的;有運動細胞的
amuse,v,娛樂
amused,adj,覺得有趣的
amusing,adj,引人發笑的
amusement,n,娛樂
amusement park, ,遊樂園
romantic,adj,浪漫的
romance,n,愛情故事
dusty,adj,滿是灰塵的
telegraph,n/v,電報;給～發電報
mislead,v,誤導
misleading,adj,誤導的
eventual,adj,最終的
eventually,adv,終於
tomb,n,墳墓
grave,adj/n,嚴重的;墳墓
gravestone,n,墓碑
graveyard,n,墓園
murmur,n/v,低語;低語
biography,n,傳記
autobiography,n,自傳
partial,adj,部分的;斷章取義的;偏袒的
impartial,adj,公平的;不偏不倚的
partially,adv,部分地
interact,v,互動
interaction,n,交互作用
interactive,adj,互動式的
gigantic,adj,巨大的
disorder,n/v,混亂;失序;小病;不適;使混亂;失調
in disorder, ,紊亂;沒條理
passive,adj,被動的;消極的
freshman,n,初學者;新人;大學或高中一年級新生
electronics,n,電子學
harsh,adj,艱困的;惡劣的;嚴厲的;刺眼;刺耳的
partnership,n,合夥關係
privacy,n,隱私
ferry,n/v,渡輪;短醜運送
disadvantage,n/v,缺點;使～處於不利地位
disadvantaged,adj,弱勢的
sway,v/n,擺動;左右;搖擺;影響
nowadays,adv,現今
dense,adj,稠密的
overnight,adv/adj,整晚;突然地;一夜的;突然的
glorious,adj,光榮的;莊麗的
copper,n/adj,銅;銅製的
diplomat,n,外交官
curl,n/v,捲髮;捲曲
curly,adj,捲的
settler,n,移民;殖民者
equality,n,均等;平等
resign,v,辭職
resignation,n,辭職;默默接受;無奈順從
miserable,adj,悲慘的
perfume,n/v,香水;噴;灑
charity,n,慈善;救濟金;慈善機構
