,,,
shortly,adv,不久之後
fashion,n,流行、時尚
in fashion,,
out of fashion,,
fashionable,adj,時髦的;上流社會的;流行的
saving,n,存款()
sincere,adj,真誠的
sincerely,adv.,真誠地;誠懇地
inspect,vt,檢視;視察
inspector,n,檢查員;視察員;督察員
optimistic,adj,樂觀的
mist,n,薄霧
mist,vt,(因霧氣)而模糊;模糊
lobby,n,大廳
lobby,vt.,遊說
elder,n,年長者;老人;前輩
elderly,adj,年長的
fond,adj,喜愛的
tide,n.,浪潮；風潮、潮流
experiment,n,實驗;試驗
harvest,n,收割;收成;收獲量
murder,n,謀殺
murder,vt,謀殺
sense,n,感應
sense,vt,感覺;覺察
sensitive,adj,敏感的
bet,n,打賭
sleeve,n.,袖子;袖套
awful,adj,可怕的;糟糕的
outline,n,輪廓;外形;大綱;概要
discount,n,折扣
discount,vt,打折
shrink,v,縮水;縮小
stable,adj,穩定的
wrist,n,手腕
elbow,n,手肘
creative,adj,有創造力的
creature,n,生物
spray,n,水霧;浪花;噴霧
cave,n,山洞
glow,n,光輝
echo,n,回聲;回響;附和者;應聲蟲
exchange,n,交換
exchange,v,交換
import,n.,進口、輸入；進口貨
export,v,輸出；出口
export,n,輸出（品）；出口
tropical,adj,熱帶的
tropic,n,回歸線
tribe,n,部落
leisure,n,閒暇;空暇時間
crown,n,皇冠
crown,vt.,使成王;加冕
deposit,n,存款；押金
deposit,v,存款；存放
marker,n,麥克筆;標誌;標記物
ripe,adj.,熟的;成熟的;時機成熟的;成年的;年高的
temper,n,脾氣
paradise,n,天堂;樂園;伊甸園
heavenly,adj.,天堂般的;絕佳的
transport,n/vt,運送
