,,,
tug,v./n,用力拉
tug-of-war,n,拔河、拉鋸戰
rub,v/n,摩擦；塗抹、擦～/擦洗
scrub,n./v,用力擦洗或刷洗
facial scrub, ,磨砂膏
property,n,財產/特性
stale,adj,不新鮮的/陳舊的、無新意的
shovel,n/v,鏟子/一鏟的量；剷除
mend,v/n,修理、修補/癒合、康復；修理
on the mend, ,好轉中
drip,v/n,使滴下；滴水聲/點滴
mushroom,n/v,蘑菇；呈蕈狀般擴散/如雨後春筍般的
saucer,n,茶碟
skate,v/n,溜冰；溜冰鞋
in-line skate, ,溜直排輪
roller-skate,v/n,輪鞋溜冰；滑輪鞋
ski,v/n,滑雪；滑雪屐
operate,v,操作/動手術
operation,n,操作/手術/運轉
operator,n,操作者/接線生
assume,v,假設;認定
career,n,職業生涯
professor,n,教授
emotion,n,感情
emotional,adj,感情的;激動的
emotionally,adv,在情緒上
unique,adj,獨特的
local,adj/n,當地的；當地人
mostly,adv,大部分;主要
urban,adj,都市的
anxious,adj,焦急的/渴望的
intelligent,adj,有才智的
explore,v,探索
explorer,n,探險家
organ,n,器官/管風琴
organic,adj,器官的/有機的
increase,v./n,增加
decrease,v,減少
increasingly,adv,逐漸地;漸增地
junior,adj,較年幼的/地位低的/;（大學）三年級的
senior,adj/n,年長的/資深的/;年長者/上司
oral,adj/n,口頭的/口腔的/口服的；口試
daily,n,日報
weekly,n,週刊
monthly,n,月刊
hopeful,adj,充滿希望的
hopeless,adj,沒希望的
fuel,n/v,燃料；供給燃料
apologize,v,道歉
awkward,adj,笨拙的、尷尬的
ambulance,n,救護車
underlying,adj,潛在的/根本的
ongoing,adj,不間斷的/正在進行的
