,,,
federal,a., 聯邦的
federation,n.,聯盟;聯邦
stock,n., 股票；存貨 庫存；儲存（物） 
stock,vt., 儲存
share,n.,股份股票
shareholder,n.,股東；持股人
series,n., 系列；電視系列節目
saint,n., 聖人 
saint,vt., 承認(某人)(尤為死者)為聖徒
corporation,n.,企業
corporate,a., 企業的
enterprise,n.,企業
commission,n., 佣金；委任 
commission,vt., 委任
assign,vt.,指派
authorize,vt.,授權
conduct,v., 處理；指揮（樂團） 
conduct,n[U]., 行為
conductor,n.,指揮
misconduct,n.,不當行為
recommend,v., 建議
recommendation,n., 推薦；推薦信
recommendable,adj.,可推薦的
recommendatory,adj.,推薦的
advice,n.,建議
suggestion,n.,建議
grant,v., 給予；授予；承認 
grant,n., 補助金；撥款
interpretation,n., 詮釋；口譯
interpret,vt.,詮釋
interpret,vi.,口譯
interpreter,n.,口譯員
communist,n., 共產主義者 
communist,a., 共產主義的
communism,n[U]., 共產主義
mount,v., 爬上；騎在⋯上；增加 
mount,n., 山
dismount,vt.,下(馬或車等)
saddle,n., 馬鞍；車座 
saddle,vt., 裝上馬鞍
spur,n.,馬刺
harness,n.,馬具
rein,n.,韁繩
confront,vt., 使面對
confrontation,n., 對峙；對抗
personnel,n., 人員；員工 ；人事部
human resources,n.,人事部
distinction,n[U]., 卓越 ；區別 差異
distinctive,a., 獨特的 特別的
distinct,adj.,清楚的，明顯的；有區別的
excellent,n.,卓越
difference,n.,差異
entitle,vt., 給予權利 資格；給命名
rifle,n., 來福槍；長槍；快速翻找
rifle,vt&vi.,(尤指為了拿或偷而)快速翻找
pistol,n.,手槍
handgun,n.,手槍
meantime,n.&adv., 期間
adore,vt., 喜愛；崇拜
adorable,a., 可愛；討人喜歡的
adoration,n.,喜愛；崇拜
admire,vt.,欣賞
worship,vt.,崇拜
abortion,n., 墮胎
abort,vt.,墮胎、(計畫)中止
barefoot,a., 光腳的 
barefoot,adv., 赤著腳地
fluency,n., 流利；流暢
fluenty,adv.,流利的
foul,a., 骯髒的；惡劣的 
foul,v., 弄髒；犯規 
foul,n., 犯規 
foul,adv., 違反規則地
abnormal,a., 不正常的；異乎尋常的
unusual,adj.,不尋常的
abolish,v., 廢除
commentary,n., 評論；註解；解說 實況報導
commentator,n., 評論家，解說員
comment,n.,評語
comment,vi.,評論
commentate,vi.,評論
diplomatic,a., 外交的；說話圓滑的
diplomatically,adv.,外交上；圓滑地
diplomat,n.,外交官
diplomacy,n.,外交手段
innovation,n., 創新
innovative,a., 創新的
perceive,v., 察覺；認為
perception,n., 感知 感覺 ；洞察力；觀點
discern,vt.,察覺
proclaim,v., 宣稱；宣布
diaper,n., 尿布 
diaper,v., 為⋯襯尿布
